username,time,tweet_text
proth87,2022-04-26 23:19:37+00:00,b'@TaylorHaasePGH @n8thegrrr8 Damage from the Oscars.'
ivery5000,2022-04-26 23:19:00+00:00,b'@FoxNews What a White Man gotta do to get locked the F* up in this MF*???\xf0\x9f\x9a\x94\nWill Smith has been banned from the Osca\xe2\x80\xa6 https://t.co/6WNcYQ2UHQ'
veronicacris,2022-04-26 23:18:19+00:00,"b'Lovig this red carpet, a lot better than Oscars one https://t.co/3OsKYEujJq'"
tubbaflubba,2022-04-26 23:18:18+00:00,b'RT @TVGuide: Absolutely no one is having more fun on the #Oscars red carpet than @willsmith https://t.co/sTU63MdbVW'
Denjaay,2022-04-26 23:17:44+00:00,b'People ranted for days about the Oscars but @CawthornforNC continues to break the law and faces no consequences for\xe2\x80\xa6 https://t.co/sG2BKVBIak'
lillyantionette,2022-04-26 23:16:57+00:00,b'RT @willpowerpacker: Welp\xe2\x80\xa6I said it wouldn\xe2\x80\x99t be boring #Oscars'
Eltonj0fficial,2022-04-26 23:16:46+00:00,b'RT @voguemagazine: If anyone could host a masterclass on how to make an IRL comeback after years of virtual gatherings it\xe2\x80\x99s certainly Elton\xe2\x80\xa6'
JustinHarrell1,2022-04-26 23:16:08+00:00,"b""@OxLordWinner @SaraGonzalesTX The whole world? Most people didn't know the Oscars was happening until after the slap went viral lol"""
adam02214200,2022-04-26 23:15:34+00:00,"b'RT @chrissgardner: Something major just happened. After \xe2\x80\x9cShallow\xe2\x80\x9d perf, @ladygaga &amp; Bradley Cooper exited stage for commercial break. Durin\xe2\x80\xa6'"
OGBlackmur,2022-04-26 23:15:29+00:00,"b'RT @inlauvperry: Cancel culture really is the weirdest thing, Will Smith is cancelled for hitting Chris Rock at the Oscars but Amber Heard\xe2\x80\xa6'"
tyrekecorrea,2022-04-26 23:15:12+00:00,b'@RichOnOWN @655Jack @MarleeMatlin @TheAcademy I thought that video was going to provide insight into the Oscars the\xe2\x80\xa6 https://t.co/T6NFKAD0PV'
Eltonj0fficial,2022-04-26 23:14:42+00:00,b'RT @ejaf: Today is the day\xf0\x9f\xa4\xa9 @ladygaga @EricMcCormack @theebillyporter @eltonofficial \n\n#EJAFOscars #Oscars https://t.co/mnSJW6sM1G'
angelrenae_,2022-04-26 23:13:33+00:00,b'RT @CassanovaHefner: This Slap better than the Oscars. HANDS DOWN! \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 https://t.co/VorceYAWmg'
dotterno1,2022-04-26 23:13:18+00:00,"b""RT @rafaelshimunov: 1973: Native American actor Sacheen Littlefeather boo'd (and cheered) by Hollywood at the Oscars before being mocked by\xe2\x80\xa6"""
ohthatashleyy,2022-04-26 23:13:13+00:00,"b'RT @inlauvperry: Cancel culture really is the weirdest thing, Will Smith is cancelled for hitting Chris Rock at the Oscars but Amber Heard\xe2\x80\xa6'"
BhavikUpadhya14,2022-04-26 23:13:06+00:00,b'@FOTYBOXING @BCusterTV @oscarvaldez56 This fight will be easy for shakur it will be a worse version of Oscars last fight'
RobbyRoadsteame,2022-04-26 23:12:59+00:00,"b'@Timmyeveryday @minutes_videos @RealJamesWoods Drink from my cup brother, share my bread, I have real knowledge, th\xe2\x80\xa6 https://t.co/n3msZrsHdF'"
Matiorasu,2022-04-26 23:12:31+00:00,"b""@GriffinPuatu I hate to reduce your entire being to one character, Griffin, but I'm legally required to imagine Lou\xe2\x80\xa6 https://t.co/5d8PfoFjv2"""
Rick_Bogarin92,2022-04-26 23:12:31+00:00,"b'RT @LG_Views: ""Shallow (Live From The Oscars)"" has reached 550 MILLION views on YouTube. It\xe2\x80\x99s @ladygaga\xe2\x80\x99s 4th video to reach this milestone\xe2\x80\xa6'"
cschleichsrun,2022-04-26 23:12:18+00:00,"b""I wanted to release my 2021 Top 10 Movies list on Oscars day, but I was traveling and hadn't made my goal of seeing\xe2\x80\xa6 https://t.co/EwxKpbee53"""
steve_v999,2022-04-26 23:11:07+00:00,"b'@LloydLegalist I avoided The Power of the Dog as long as I could. Turned out to be a complete dog, despite the hype\xe2\x80\xa6 https://t.co/hKYr5gUuvj'"
oscars_bits,2022-04-26 23:10:42+00:00,b'RT @memevenger27: me n the bestie @anna_rideout @hairsprayontour https://t.co/cUfF5BZqyz'
oscars_bits,2022-04-26 23:10:23+00:00,b'RT @Gigem2022: I wonder what it\xe2\x80\x99s like to be cool like her https://t.co/VXjh6FPlV9'
knockoffbarbie_,2022-04-26 23:09:15+00:00,"b""RT @CasIsLoved: castiel's confession trended above us elections. misha collins at the oscars trended above all the a-listers. misha coming\xe2\x80\xa6"""
EshaVarma7,2022-04-26 23:09:11+00:00,"b'RT @billieeilish: Watch Billie\'s performance of ""No Time To Die"", the Academy Award-winning @007 theme song, at the 94th #Oscars. @TheAcade\xe2\x80\xa6'"
BlazersBySagar,2022-04-26 23:08:50+00:00,b'RT @ErikDavis: Notes on Sony\xe2\x80\x99s #CinemaCon presentation: \n- #AcrossTheSpiderVerse footage was the big winner. Everyone walking out is RAVING\xe2\x80\xa6'
RichardLafette,2022-04-26 23:08:45+00:00,b'@NicholasPegg @juliacmarchese I recently saw the 1978 version of Joseph Andrews on Talking Pictures. Another terrif\xe2\x80\xa6 https://t.co/y6uT17t0jW'
Inowei8,2022-04-26 23:08:38+00:00,"b'#Burnaboy would one day perform at the Oscars,win an is Oscars too, perform at the world cup and would also win 7 G\xe2\x80\xa6 https://t.co/SWcaAwWTrL'"
DrDecide,2022-04-26 23:07:33+00:00,"b'RT @inlauvperry: Cancel culture really is the weirdest thing, Will Smith is cancelled for hitting Chris Rock at the Oscars but Amber Heard\xe2\x80\xa6'"
nbspacegem,2022-04-26 23:07:23+00:00,"b""RT @Openly: \xf0\x9f\x8c\x88 The 21st century ushered in more positive and regular depictions of lesbian lives.\n\n\xf0\x9f\x93\xba 'The L Word' premiered in 2004, with TV\xe2\x80\xa6"""
MarkGi007,2022-04-26 23:06:29+00:00,"b'RT @BAshbyMD: Denzel Washington\xe2\x80\x99s message to Will Smith shortly after he slapped Chris Rock:  \xe2\x80\x9cAt your highest moment, be careful because t\xe2\x80\xa6'"
Foot22Blac,2022-04-26 23:05:46+00:00,b'RT @Acosta: ICYMI: Actor Sean Penn says the Oscars should be boycotted if the ceremony\xe2\x80\x99s planners have decided against having Zelensky on t\xe2\x80\xa6'
